,title,link,play_times,collection_times,relay_times,comments,creator,create_date
242,燃系｜渐进的鼓点 从身体里满溢而出的热血,"https://music.163.com/playlist?id=2075052112
",1005067,28396,161,262,绊爱酱,2018-01-26
147,Aimer全收录(持续更新),"https://music.163.com/playlist?id=424769280
",514771,28257,275,201,Aimer_Sawano,2016-07-18
121,『日系』 惊艳双耳的前奏 扣人心弦的声音,"https://music.163.com/playlist?id=2422777527
",885686,28154,180,505,佳期不负,2018-09-16
15,Kawaii Bass • 软萌味的萝莉电音⚡,"https://music.163.com/playlist?id=2487120533
",533965,28071,151,94,ACG二次元菌,2018-10-27
22,东京飱种&喰种原声,"https://music.163.com/playlist?id=2068824102
",1128013,28046,212,365,ZeroLanguage,2018-01-22
14,混迹于霓虹国40年的复古节奏,"https://music.163.com/playlist?id=2217956735
",878218,28016,546,116,AirRadio空气赫兹,2018-05-08
209,失败者的飞翔 | 用尽全力的爱这个世界,"https://music.163.com/playlist?id=2330269039
",713813,28003,240,619,AirRadio空气赫兹,2018-07-24
273,突然兴奋！唱见的电波时刻,"https://music.163.com/playlist?id=2202381769
",1185088,27790,195,301,xept,2018-04-27
63,［日系］撕心裂肺的绝望少年（男声哭腔,"https://music.163.com/playlist?id=721288341
",481465,27594,140,159,是森先生啊,2017-05-08
54,曾经有一个独眼の王叫做金木研『北岛彻向』,"https://music.163.com/playlist?id=2126841060
",838675,26511,187,415,北梦夏棙,2018-03-04
113,【燃向】 精选泽野弘之燃曲集,"https://music.163.com/playlist?id=2056960641
",773428,26470,116,228,樱落秒伍,2018-01-13
276,『致逝者』心爱的人，永远守护着你,"https://music.163.com/playlist?id=2156782354
",800669,26409,216,364,佐仓小小千代,2018-03-25
78,Tokyo Ghoul™,"https://music.163.com/playlist?id=2467999839
",583466,26353,219,338,badjungkook,2018-10-13
214,「日系流行」舌尖之声 醉人之律,"https://music.163.com/playlist?id=2162270632
",586768,26144,234,151,-沏茶赏花-,2018-03-29
213,[日系]节奏和热血，建议犯困时食用,"https://music.163.com/playlist?id=2184860868
",590737,26088,112,179,星野樱木,2018-04-14
247,唤发荷尔蒙：日本温柔烟枪少年,"https://music.163.com/playlist?id=2418216516
",701684,25983,215,134,友Xyi,2018-09-13
145,少女终末旅行（原声集）,"https://music.163.com/playlist?id=696989124
",682633,25842,285,546,中二的歪鲤,2017-04-14
156,『日系』生而为人，她曾活过啊。,"https://music.163.com/playlist?id=953520783
",454388,25739,130,256,泉梓森,2017-10-10
26,「日系」森林低语 少女独舞,"https://music.163.com/playlist?id=2012930778
",544654,25281,250,83,晚烟的花卉店,2017-12-13
289,Jazz hiphop｜猫系女嗓与微醺的慵懒,"https://music.163.com/playlist?id=2059704065
",949555,25253,327,139,花嫁赫萝,2018-01-15
