,title,link,play_times,creator
1294,落幕2018│年度欧美旋律 渗透人心的音韵♬,https://music.163.com/playlist?id=2580215512,1080000,Fan-Eddie
4,YOUTUBE旅拍大佬们的歌单,https://music.163.com/playlist?id=2287797892,1070000,flashyami
170,心怀世界 · 摇滚人生的博爱情怀,https://music.163.com/playlist?id=2523798161,1050000,xept
207,晚安曲丨我温柔而通透的小宇宙,https://music.163.com/playlist?id=2499464058,1050000,泽山集
100,「夜阑人静」冬色渐入 愿你凡世浮尘静夜思,https://music.163.com/playlist?id=2476462462,1030000,四季里的懒睡猫
171,麻麻，我要踩着复古小调出去玩耍了,https://music.163.com/playlist?id=2308797182,1030000,螚安Vivienne
172,甜味爵士 | 焦糖拿铁口味·甜柔度100%,https://music.163.com/playlist?id=2479397515,1010000,美学流亡
37,“说真的 梦里在一起吧”,https://music.163.com/playlist?id=2124685170,1000000,Xthousis666
137,仙气男嗓 · 予你脸红的思春期,https://music.163.com/playlist?id=2100681315,1000000,qhuiya
54,【Emo rap】萬物淪喪 我在中央,https://music.163.com/playlist?id=2016808728,990000,Sisorelcsoriak
173,午夜无人°温柔干燥度100%,https://music.163.com/playlist?id=2336698314,970000,猫头罐与六便士
209,最火抖音歌单2019（BGM会更新）,https://music.163.com/playlist?id=2063912702,970000,吴佳桐大人
181,欧美微醺 · 韵味十足的高级爵士女嗓,https://music.163.com/playlist?id=2514269356,960000,shakemyhead
135,Chainsmokers September Playlist,https://music.163.com/playlist?id=2419146096,960000,TheChainsmokers
46,「G-Funk」当说唱遇上放克乐,https://music.163.com/playlist?id=2330606043,960000,Ghostface_Killers
102,那些美的像诗一样的英文歌词,https://music.163.com/playlist?id=2307535439,960000,傻戳不傻
75,┆Take a bath┆关灯洗浴 水雾中是你,https://music.163.com/playlist?id=2160646979,950000,酥佚君
131,再见了，漫威之父,https://music.163.com/playlist?id=2511503266,950000,半泽树
210,抖音最火歌曲2019英文,https://music.163.com/playlist?id=2194425768,940000,niJaT2645
111,毒性迷幻Trap精选全部精选！,https://music.163.com/playlist?id=2034697353,940000,YeahAyy
148,冬日恋歌 | 节奏控，雀跃的铃铛响起来,https://music.163.com/playlist?id=2545738258,930000,olly的牙缝
1195,「趣乐糖果」玻璃瓶里的清甜果味泡,https://music.163.com/playlist?id=2313686991,920000,车厘子焯水
142,情绪男嗓 | 稀疏鼓点 空灵澄净的幻想曲,https://music.163.com/playlist?id=2543969395,920000,Seabearone
189,优质原曲邂逅remix，前奏就沦陷,https://music.163.com/playlist?id=2313358314,910000,云音乐VIP
107,法语||与你漫步在小巷里的旧时光,https://music.163.com/playlist?id=2304955448,900000,她與樹洞先生
212,全网易最贵歌单了解一下？,https://music.163.com/playlist?id=2181517234,900000,一房两人三猫四季五杀六九
26,午后慵懒｜与爱人 岁月如诗 美好如斯,https://music.163.com/playlist?id=2539003950,900000,Moonxxii
222,DnB Remix当欧美热单遇上霸气冲击力,https://music.163.com/playlist?id=2483585023,890000,Anjunadeep
182,【游戏原声】屏幕之后，更是另一个世界,https://music.163.com/playlist?id=2315825860,880000,谐星七十六号
174,CGI《蜘蛛侠 平行宇宙》动画↓BGM,https://music.163.com/playlist?id=2547659506,880000,Ferhat吸血鬼
183,电影中的绝妙翻唱｜演绎别样经典³,https://music.163.com/playlist?id=2561181670,880000,下一颗巧克力
116,【电音】耳机党福音 节奏控最爱,https://music.163.com/playlist?id=988828723,870000,风之君临
1,不管谁说什么都坚持努力的你，超帅气,https://music.163.com/playlist?id=2625911329,870000,mayuko然
38,迪士尼公主：梦开始的地方,https://music.163.com/playlist?id=2570049352,860000,楼船夜雪天
31,⚡ 2018全年优质电音丨精选推荐,https://music.163.com/playlist?id=2035253742,850000,AhnJiyoung
199,在你眼中 我看到了整个世界该有的温柔,https://music.163.com/playlist?id=2543748341,840000,鹿白川
213,朱伟的恋练有词歌单2019,https://music.163.com/playlist?id=2032917187,840000,哆啦丶HM
1196,温柔捕捉网 | 在慵懒声线中融化成温柔本身,https://music.163.com/playlist?id=2384930472,820000,鹿北浠
214,健身房歌单,https://music.163.com/playlist?id=2288297227,820000,气质与生俱来哦
1197,／喜欢汽水味儿的你 我能请你吃甜点吗,https://music.163.com/playlist?id=2349813396,810000,边白甜的少女
190,音乐良药 · 愿世界予你温柔相待,https://music.163.com/playlist?id=2478938515,810000,shakemyhead
215,适合3D环绕音效的歌曲,https://music.163.com/playlist?id=2331345133,800000,杜宣达达达
140,人生不会重启，但未来总是可期,https://music.163.com/playlist?id=2521311243,800000,扥你
184,冬日暖阳 | 咖啡馆街角的浪漫邂逅,https://music.163.com/playlist?id=2503707563,790000,东野圭吾的烦恼
146,甜心浪漫｜撩动心弦100%,https://music.163.com/playlist?id=2531731972,790000,北见长安
1295,这是什么宝贝神仙续命歌单！,https://music.163.com/playlist?id=2502162769,790000,薄荷猫晒太阳
191,【冷寂氛围】星空下的思索者，矫首仰望,https://music.163.com/playlist?id=2559620809,790000,谐星七十六号
141,Dua Lipa 巡演路上的私房歌单,https://music.163.com/playlist?id=2483495328,780000,DuaLipa
216,Rose: The J.Fla Collection,https://music.163.com/playlist?id=2202423586,770000,JFla_Rabbits
20,谨以此单献给还在坚持的召唤师！,https://music.163.com/playlist?id=929509797,770000,花别落叶
110,电音–「星空幻想臻美旋律」,https://music.163.com/playlist?id=2090125678,770000,破东风的琴
120,【Rap】光听Beat就足够好听,https://music.163.com/playlist?id=2186405575,760000,HolyGrail98
196,怀旧旋律 · 旧时光里的天马行空,https://music.163.com/playlist?id=2503202287,750000,shakemyhead
53,七月特饮 | 为你调兑一杯限量的Pink Soda,https://music.163.com/playlist?id=2300271910,740000,我像只鱼儿在喝你的汤
823,80000（PRC巴音汗）第一首就是改名。爱了,https://music.163.com/playlist?id=2092254226,740000,七七七七当场苏喂
101,2018丛林电子音乐节歌单,https://music.163.com/playlist?id=2414177224,730000,丛林电音
90,〖内涵D子—TV〗组织当年熟悉的旋律！,https://music.163.com/playlist?id=2357517575,730000,_LearnAndLive
45,精灵的喃语│明媚阳光入你清新梦境,https://music.163.com/playlist?id=2436161900,720000,林沐夜
153,Melanie Martinez牙牙◤治愈暗黑童话风◢,https://music.163.com/playlist?id=990907486,720000,-onlyQuanYZ9w-
77,欧美轻快小调∥小清新,https://music.163.com/playlist?id=2091355034,710000,挪威的童话
21,合成器| 牙齿与酸梅苏打,https://music.163.com/playlist?id=2301457282,710000,摇滚纪事
197,播放这个歌单，今年维密由我开场,https://music.163.com/playlist?id=2513218326,710000,云音乐VIP
57,底特律：成为人类OST/Detroit:Become Human,https://music.163.com/playlist?id=2239831916,700000,PachoPuta
185,趁着夜色微醺，月光下共舞可好？,https://music.163.com/playlist?id=2373179577,700000,螚安Vivienne
186,慢核漩涡｜游弋在与时代的错位中,https://music.163.com/playlist?id=2529619890,700000,猫头罐与六便士
224,余生：Psychedelic trance迷幻重剂神秘异境,https://music.163.com/playlist?id=2386738298,700000,冰岛不语
1296,欧美抒情：伤感忧虑的淡化旋律,https://music.163.com/playlist?id=2516701515,690000,Sachety
193,虚空浪漫风 | 沉溺在迷幻的烟波里,https://music.163.com/playlist?id=2458270544,690000,东野圭吾的烦恼
225,Hardcore·硬核｜低音轰炸·终极暴躁！,https://music.163.com/playlist?id=2160691238,690000,孒洋
128,【抖音歌单】抖音短视频BGM（全收录）,https://music.163.com/playlist?id=951206170,680000,NHDZ4-10
1198,黄昏曲丨朦胧浪漫的温柔情绪,https://music.163.com/playlist?id=2494862730,680000,泽山集
63,R&B | 漫漫寒夜庇护所,https://music.163.com/playlist?id=2536552183,660000,JvckBMCA
138,•梦幻系独立乐曲| 浩繁星境中一场紫色的梦,https://music.163.com/playlist?id=2546929594,650000,BeerBadBlood
1202,богословие✪,https://music.163.com/playlist?id=2225103437,640000,人玩人-
104,与月光为邻，当个夜旅人。,https://music.163.com/playlist?id=2548830612,640000,左调
51,『电影配乐』当优雅华尔兹遇上激情探戈,https://music.163.com/playlist?id=2226210869,640000,蝶影丛虫
145,新锐之声|| 来日已可期的欧美零零后,https://music.163.com/playlist?id=2575922902,640000,冰糖炖雪梨Er
194,FUTURE BASS ¡ 漂浮在霓虹世界,https://music.163.com/playlist?id=2462086082,630000,NickyRomero
226,狂野飙车9:竞速传奇 Asphalt 9 原声BGM,https://music.163.com/playlist?id=2119810237,620000,阿基Archi
227,宝宝催眠曲大全_婴儿催眠大师 baby摇篮曲,https://music.163.com/playlist?id=2052012599,620000,梵希茨
200,来自美国东西海岸的匪气节奏,https://music.163.com/playlist?id=2319200550,620000,云音乐VIP
106,轻电子丨我的宇宙里为你藏有无数个温柔星球,https://music.163.com/playlist?id=2541689977,600000,海厘
217,英语听力【书虫系列，慎入！】,https://music.163.com/playlist?id=2430561233,580000,神明也难渡我
201,集泪瓶 · 望你遇到视你如瑰宝的爱人,https://music.163.com/playlist?id=2474594001,570000,shakemyhead
139,词·曲反差：永远不要相信一首快乐的歌,https://music.163.com/playlist?id=2574005912,560000,徊梦
187,尤克里里|听见便是夏天的味道,https://music.163.com/playlist?id=2222766432,560000,IntropinRevivan
228,DCEU丨海王 · 电影原声带,https://music.163.com/playlist?id=2311067927,560000,密林斯派维的白日梦
86,声控福利二（男声）,https://music.163.com/playlist?id=2324644638,560000,想要天天吃榴莲
204,Dubstep低音轰炸 专治各种颈椎不适,https://music.163.com/playlist?id=2556500338,540000,云音乐VIP
49,It's fine I'm always alone,https://music.163.com/playlist?id=2352407852,530000,病气十昧
30,【綺夢曼波】放克节奏 & 复古电子,https://music.163.com/playlist?id=2259982760,530000,吉爸爸-Official
218,Show Me The Money 777,https://music.163.com/playlist?id=2303898953,530000,谁先矛盾
206,☆漫威观影指南☆,https://music.163.com/playlist?id=2437286970,530000,云音乐VIP
229,R3HAB - Best of 2018 Playlist,https://music.163.com/playlist?id=2578804865,520000,R3HAB
508,电子发展史上那些经典的旋律,https://music.163.com/playlist?id=2490754330,520000,soAoAyEDM
